title,description,Genre,Actors,Poster,imdb_score,tags
Dark Waters,"Ragab, a poor sailor, returns home to Alexandria after three years of absence, during which he tried to save money to marry his one true love, Hamedah. But there's trouble on the harbor, and with an old friend.","Biography, Drama, History, Thriller","Bill Pullman, Anne Hathaway, Mark Ruffalo, Tim Robbins",https://m.media-amazon.com/images/M/MV5BODQ0M2Y5M2QtZGIwMC00MzJjLThlMzYtNmE3ZTMzZTYzOGEwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,6.7,"Ragab, a poor sailor, returns home to Alexandria after three years of absence, during which he tried to save money to marry his one true love, Hamedah. But there's trouble on the harbor, and with an old friend.MOVIEBiography, Drama, History, ThrillerEGBill Pullman, Anne Hathaway, Mark Ruffalo, Tim Robbins"
Dostana,"Two close friends decide to enter law enforcement, one as a police officer, the other as a lawyer, but their friendship begins to unravel when they both fall in love with the same woman.","Comedy, Drama, Romance","Abhishek Bachchan, Priyanka Chopra, Kirron Kher, John Abraham",https://m.media-amazon.com/images/M/MV5BOTE0NDU1ZTctYjRjYS00OTEyLTkzOWQtNmRiNDg5ZDU1ODBiXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,2.1,"Two close friends decide to enter law enforcement, one as a police officer, the other as a lawyer, but their friendship begins to unravel when they both fall in love with the same woman.MOVIEComedy, Drama, RomanceINAbhishek Bachchan, Priyanka Chopra, Kirron Kher, John Abraham"
Manoranjan,"Havaldar Ratan is a rookie at the local police station, and is assigned duty on foot patrol on Manoranjan Street, a notorious red-light area, on the very first day of his job. He strikes up a conversation with a good-looking young woman named Nisha, and tells her that there is a possible violation of Suppression of Immoral Trafficking Act taking place on this street. He witnesses several women soliciting men, and decides to call in the paddy wagon, and get them arrested. Alas, one of the men frequenting the prostitutes is none other than Ratan's superior officer, who immediately summons Ratan, and has him removed from service on corruption charges. Nisha takes pity on a homeless and unemployed Ratan, and asks him to live with her. He does not want her to sell her body, and so he decides to work at night, and during the day he takes on the guise of a rich Nawab and spends time with her.","Comedy, Musical, Romance","Dev Kumar, Zeenat Aman, Sanjeev Kumar, Shammi Kapoor",https://images-na.ssl-images-amazon.com/images/M/MV5BNDVkMWE3NDMtYjUyYi00ODcxLWE5ZjMtMjEyNjIzMTEzZDY3XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,6.5,"Havaldar Ratan is a rookie at the local police station, and is assigned duty on foot patrol on Manoranjan Street, a notorious red-light area, on the very first day of his job. He strikes up a conversation with a good-looking young woman named Nisha, and tells her that there is a possible violation of Suppression of Immoral Trafficking Act taking place on this street. He witnesses several women soliciting men, and decides to call in the paddy wagon, and get them arrested. Alas, one of the men frequenting the prostitutes is none other than Ratan's superior officer, who immediately summons Ratan, and has him removed from service on corruption charges. Nisha takes pity on a homeless and unemployed Ratan, and asks him to live with her. He does not want her to sell her body, and so he decides to work at night, and during the day he takes on the guise of a rich Nawab and spends time with her.MOVIEComedy, Musical, RomanceINDev Kumar, Zeenat Aman, Sanjeev Kumar, Shammi Kapoor"
Whispers,"At every station, between sites filled with poetry and nostalgia for a bygone era, the poet's dashed dreams and idealized vision of her country coincide with the director's own.","Drama, Horror, Thriller","Diane Ayala Goldner, Keeley Hazell, Craig Rees, Barbara Nedeljakova",https://m.media-amazon.com/images/M/MV5BMmM3YWZlMDEtZGQzYy00NGQ5LWI0YjYtOGFkNzEwODFhM2VlXkEyXkFqcGdeQXVyMjc3NzczMzQ@._V1_SX300.jpg,7.8,"At every station, between sites filled with poetry and nostalgia for a bygone era, the poet's dashed dreams and idealized vision of her country coincide with the director's own.MOVIEDrama, Horror, ThrillerFR, LB, CADiane Ayala Goldner, Keeley Hazell, Craig Rees, Barbara Nedeljakova"
Whispers,"At every station, between sites filled with poetry and nostalgia for a bygone era, the poet's dashed dreams and idealized vision of her country coincide with the director's own.","Drama, Horror, Thriller","Diane Ayala Goldner, Keeley Hazell, Craig Rees, Barbara Nedeljakova",https://m.media-amazon.com/images/M/MV5BMmM3YWZlMDEtZGQzYy00NGQ5LWI0YjYtOGFkNzEwODFhM2VlXkEyXkFqcGdeQXVyMjc3NzczMzQ@._V1_SX300.jpg,7.8,"At every station, between sites filled with poetry and nostalgia for a bygone era, the poet's dashed dreams and idealized vision of her country coincide with the director's own.MOVIEDrama, Horror, ThrillerFR, LB, CADiane Ayala Goldner, Keeley Hazell, Craig Rees, Barbara Nedeljakova"
Full Metal Jacket,A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,"Drama, War","Adam Baldwin, Matthew Modine, R. Lee Ermey, Vincent D'Onofrio",https://images-na.ssl-images-amazon.com/images/M/MV5BNzc2ZThkOGItZGY5YS00MDYwLTkyOTAtNDRmZWIwMGRhYTc0L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,8.3,"A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.MOVIEDrama, WarGB, USAdam Baldwin, Matthew Modine, R. Lee Ermey, Vincent D'Onofrio"
Christine,"Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory. As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty. Arnie's girlfriend Leigh and best friend Dennis reach out to him, only to be met by a Fury like no other.","Horror, Thriller","Alexandra Paul, John Stockwell, Keith Gordon, Robert Prosky",https://images-na.ssl-images-amazon.com/images/M/MV5BZThhNDQxNzAtOTYzZC00MzZkLWI2YjItOTE2ZjliZDY3NTFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,6.7,"Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory. As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty. Arnie's girlfriend Leigh and best friend Dennis reach out to him, only to be met by a Fury like no other.MOVIEHorror, ThrillerUSAlexandra Paul, John Stockwell, Keith Gordon, Robert Prosky"
Christine,"Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory. As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty. Arnie's girlfriend Leigh and best friend Dennis reach out to him, only to be met by a Fury like no other.","Horror, Thriller","Alexandra Paul, John Stockwell, Keith Gordon, Robert Prosky",https://images-na.ssl-images-amazon.com/images/M/MV5BZThhNDQxNzAtOTYzZC00MzZkLWI2YjItOTE2ZjliZDY3NTFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,6.7,"Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory. As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty. Arnie's girlfriend Leigh and best friend Dennis reach out to him, only to be met by a Fury like no other.MOVIEHorror, ThrillerUSAlexandra Paul, John Stockwell, Keith Gordon, Robert Prosky"
A Nightmare on Elm Street,"Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...","Crime, Drama, Horror, Mystery","Rooney Mara, Jackie Earle Haley, Katie Cassidy, Kyle Gallner",https://images-na.ssl-images-amazon.com/images/M/MV5BODIxMTQ0NTIxM15BMl5BanBnXkFtZTcwMzY1NDAyMw@@._V1_SX300.jpg,7.4,"Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...MOVIECrime, Drama, Horror, MysteryUSRooney Mara, Jackie Earle Haley, Katie Cassidy, Kyle Gallner"
Awakenings,"Dr. Malcolm Sayer, a shy research physician, uses an experimental drug to ""awaken"" the catatonic victims of a rare disease. Leonard is the first patient to receive the controversial treatment. His awakening, filled with awe and enthusiasm, proves a rebirth for Sayer too, as the exuberant patient reveals life's simple but unutterably sweet pleasures to the introverted doctor.","Biography, Drama","Julie Kavner, Robert De Niro, Ruth Nelson, Robin Williams",https://images-na.ssl-images-amazon.com/images/M/MV5BMjI5NjEzMDYyMl5BMl5BanBnXkFtZTgwNjgwNTg4NjE@._V1_SX300.jpg,7.8,"Dr. Malcolm Sayer, a shy research physician, uses an experimental drug to ""awaken"" the catatonic victims of a rare disease. Leonard is the first patient to receive the controversial treatment. His awakening, filled with awe and enthusiasm, proves a rebirth for Sayer too, as the exuberant patient reveals life's simple but unutterably sweet pleasures to the introverted doctor.MOVIEBiography, DramaUSJulie Kavner, Robert De Niro, Ruth Nelson, Robin Williams"
Mobile Suit Gundam II: Soldiers of Sorrow,"After managing to survive attacks by Zeon's Char Aznable and Garma Zabi, the crew of Federation warship White Base and its mobile suits must battle Zeon forces through Asia, Europe, and the Atlantic Ocean if they are to reach Earth Federation's headquarters alive. During that process many of its crewmembers must overcome their fears, losses, immaturities, and insecurities in order to survive.","Animation, Action, Drama, Sci-Fi","Hirotaka Suzuoki, Fuyumi Shiraishi, Shûichi Ikeda, Tôru Furuya",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3MTc5ODIxMl5BMl5BanBnXkFtZTcwOTExMjEyMQ@@._V1_SX300.jpg,7.2,"After managing to survive attacks by Zeon's Char Aznable and Garma Zabi, the crew of Federation warship White Base and its mobile suits must battle Zeon forces through Asia, Europe, and the Atlantic Ocean if they are to reach Earth Federation's headquarters alive. During that process many of its crewmembers must overcome their fears, losses, immaturities, and insecurities in order to survive.MOVIEAnimation, Action, Drama, Sci-FiJPHirotaka Suzuoki, Fuyumi Shiraishi, Shûichi Ikeda, Tôru Furuya"
Sam Kinison: Breaking the Rules,"This is a great performance. Through yelling and energetic story-telling, he talks about marriage, drugs, being arrested (thanks to his ex-wife), pleasing women, religion, and much, much more.","Documentary, Comedy","Florence Marie Marney, Sam Kinison",https://images-na.ssl-images-amazon.com/images/M/MV5BMTgxNjMwNzUzM15BMl5BanBnXkFtZTcwMDg0NDMyMQ@@._V1_SX300.jpg,7.2,"This is a great performance. Through yelling and energetic story-telling, he talks about marriage, drugs, being arrested (thanks to his ex-wife), pleasing women, religion, and much, much more.MOVIEDocumentary, ComedyUSFlorence Marie Marney, Sam Kinison"
Mobile Suit Gundam III: Encounters in Space,"Amuro Ray and the rest of the White Base crew, now denominated the 13th Autonomous Corps, return to outer space to support the rest of the Earth Federation forces for the decisive battle against the Duchy of Zeon's forces.","Animation, Action, Drama, Sci-Fi","Hirotaka Suzuoki, Yô Inoue, Shûichi Ikeda, Tôru Furuya",https://images-na.ssl-images-amazon.com/images/M/MV5BMTYyOTExMDY0MF5BMl5BanBnXkFtZTcwMTY2MzUyMQ@@._V1_SX300.jpg,7.7,"Amuro Ray and the rest of the White Base crew, now denominated the 13th Autonomous Corps, return to outer space to support the rest of the Earth Federation forces for the decisive battle against the Duchy of Zeon's forces.MOVIEAnimation, Action, Drama, Sci-FiJPHirotaka Suzuoki, Yô Inoue, Shûichi Ikeda, Tôru Furuya"
Agneepath,"The movie depicts the life of a young boy, Vijay (Amitabh Bachchan), whose father gets brutally lynched by a mobster Kancha Cheena. It's a journey of his quest for revenge, which leads him to become a gangster as an adult. Watch out for Amitabh Bachchan in one of the most powerful roles of his career. Will Vijay lose his family in the process of satisfying his vengeance?","Action, Crime, Drama","Madhavi, Neelam Kothari, Mithun Chakraborty, Amitabh Bachchan",https://m.media-amazon.com/images/M/MV5BOGIyNGNhN2EtYTZiNC00MDJjLWI2M2ItZjA1MTBlYmNiODNlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,7.6,"The movie depicts the life of a young boy, Vijay (Amitabh Bachchan), whose father gets brutally lynched by a mobster Kancha Cheena. It's a journey of his quest for revenge, which leads him to become a gangster as an adult. Watch out for Amitabh Bachchan in one of the most powerful roles of his career. Will Vijay lose his family in the process of satisfying his vengeance?MOVIEAction, Crime, DramaINMadhavi, Neelam Kothari, Mithun Chakraborty, Amitabh Bachchan"
Parrot Sketch Not Included: Twenty Years of Monty Python,"Steve Martin presents selected sketches from ""Monty Python's Flying Circus (1969)"". It's the well known sketches, though the parrot sketch is not included. Steve Martin has some funny comments on the Pythons.",Comedy,"Terry Gilliam, John Cleese, Graham Chapman, Steve Martin",https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzNDA5MTA5MV5BMl5BanBnXkFtZTgwMzMzOTk1MDE@._V1_SX300.jpg,8.1,"Steve Martin presents selected sketches from ""Monty Python's Flying Circus (1969)"". It's the well known sketches, though the parrot sketch is not included. Steve Martin has some funny comments on the Pythons.MOVIEComedyGBTerry Gilliam, John Cleese, Graham Chapman, Steve Martin"
Adam: His Song Continues,"Follows the true story of John and Reve Walsh who, after their child was murdered, fought to raise national awareness of the problem of missing children.","Crime, Drama","JoBeth Williams, Martha Scott, Daniel J. Travanti, Richard Masur",http://ia.media-imdb.com/images/M/MV5BMjIwMDc1NTM3OV5BMl5BanBnXkFtZTgwNzAwODY0MjE@._V1_SX300.jpg,7.0,"Follows the true story of John and Reve Walsh who, after their child was murdered, fought to raise national awareness of the problem of missing children.MOVIECrime, DramaUSJoBeth Williams, Martha Scott, Daniel J. Travanti, Richard Masur"
Disco Dancer,"Anil, a street singer, is humiliated and driven out of Bombay along with his mother. However, he soon becomes a famous performer but the enemies from his past try to destroy his hard-earned career.","Drama, Musical, Romance","Om Puri, Kalpana Iyer, Mithun Chakraborty, Kim",https://m.media-amazon.com/images/M/MV5BMDJlYWEwOGMtYjA3Ny00NmY5LTlhY2QtYjhmM2E2NDY4NjBiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,6.5,"Anil, a street singer, is humiliated and driven out of Bombay along with his mother. However, he soon becomes a famous performer but the enemies from his past try to destroy his hard-earned career.MOVIEDrama, Musical, RomanceINOm Puri, Kalpana Iyer, Mithun Chakraborty, Kim"
The Ryan White Story,"The story of Ryan White, a 13-year-old haemophiliac who contracted AIDS from factor VIII, which was used to control this disorder.","Biography, Drama","Judith Light, Lukas Haas, Nikki Cox, Michael Bowen",https://images-na.ssl-images-amazon.com/images/M/MV5BMTA2MTIxOTU0MTZeQTJeQWpwZ15BbWU4MDkxMDg2NDIx._V1_SX300.jpg,7.2,"The story of Ryan White, a 13-year-old haemophiliac who contracted AIDS from factor VIII, which was used to control this disorder.MOVIEBiography, DramaUSJudith Light, Lukas Haas, Nikki Cox, Michael Bowen"
Dil,"Raja lives a poor lifestyle along with his dad, Hazariprasad and mom. He attends college where he has several run-ins with wealthy fellow-collegian, Madhu Mehra. Matters escalate to such an extent that she accuses him of sexually molesting her. When his dad comes to know, he decides to seize this chance to get rich quickly, masquerades as a wealthy businessman, approaches Mr. Mehra, and arranges for their children to get married. Murphy's law prevails at the time of the engagement - changing everyone's lives forever.","Action, Romance","Nithiin, Neha Bamb, Chalapathi Rao, Raghu Babu",https://m.media-amazon.com/images/M/MV5BYTk1NmY5N2ItZWYwYy00NTgwLWIxOWUtOGNmNmViZDM5MDU0XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,6.6,"Raja lives a poor lifestyle along with his dad, Hazariprasad and mom. He attends college where he has several run-ins with wealthy fellow-collegian, Madhu Mehra. Matters escalate to such an extent that she accuses him of sexually molesting her. When his dad comes to know, he decides to seize this chance to get rich quickly, masquerades as a wealthy businessman, approaches Mr. Mehra, and arranges for their children to get married. Murphy's law prevails at the time of the engagement - changing everyone's lives forever.MOVIEAction, RomanceINNithiin, Neha Bamb, Chalapathi Rao, Raghu Babu"
Quiet Victory: The Charlie Wedemeyer Story,"Film that tells the story of Los Gatos (California) high school football coach Charlie Wedemeyer. At 31, onetime football pro Wedemeyer is living the American dream; a winning team, a happy marriage and public adulation.",Drama,"Bess Meyer, Michael Nouri, Pam Dawber, Peter Berg",https://images-na.ssl-images-amazon.com/images/M/MV5BMTc4NzI1MjkyNV5BMl5BanBnXkFtZTgwNjQzMTI1MjE@._V1_SX300.jpg,7.1,"Film that tells the story of Los Gatos (California) high school football coach Charlie Wedemeyer. At 31, onetime football pro Wedemeyer is living the American dream; a winning team, a happy marriage and public adulation.MOVIEDramaUSBess Meyer, Michael Nouri, Pam Dawber, Peter Berg"
Sohni Mahiwal,"Shahjada Ijjat Beg comes to India with his caravan and settles in a town in Gujrat. Here he falls in love with Sohani, who keeps a shop in metal pots. Ijjat Beg buys pot from her with whatever money he had and they were attracted to each other. Sohni dispensed with her servant and kept Ijjat Beg instead. This gave them more opportunity to meet. This was a scandal in the town and Sohni was perforce married to Rehaman who was slightly off his head. Sohni continued her meeting Ijjat Beg who went out fishing. When the atmosphere became to hot for them they jointly took a water grave for their love.","Action, Drama, Romance","Tanuja, Poonam Dhillon, Pran, Sunny Deol",https://images-na.ssl-images-amazon.com/images/M/MV5BZjBiNWZjODMtZjcxZi00YjQ5LWFjY2YtMjg2NTY4YWE5N2ZiXkEyXkFqcGdeQXVyMjU4NDY1ODA@._V1_SX300.jpg,6.1,"Shahjada Ijjat Beg comes to India with his caravan and settles in a town in Gujrat. Here he falls in love with Sohani, who keeps a shop in metal pots. Ijjat Beg buys pot from her with whatever money he had and they were attracted to each other. Sohni dispensed with her servant and kept Ijjat Beg instead. This gave them more opportunity to meet. This was a scandal in the town and Sohni was perforce married to Rehaman who was slightly off his head. Sohni continued her meeting Ijjat Beg who went out fishing. When the atmosphere became to hot for them they jointly took a water grave for their love.MOVIEAction, Drama, RomanceINTanuja, Poonam Dhillon, Pran, Sunny Deol"
The Quick and the Dead,"A mysterious woman comes to compete in a quick-draw elimination tournament, in a town taken over by a notorious gunman.","Action, Romance, Thriller, Western","Sharon Stone, Leonardo DiCaprio, Gene Hackman, Russell Crowe",https://images-na.ssl-images-amazon.com/images/M/MV5BOTI2ZTZmMmItMmM3YS00ZjUwLWJiODMtMmRjMWM4NDE0OWFhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,6.5,"A mysterious woman comes to compete in a quick-draw elimination tournament, in a town taken over by a notorious gunman.MOVIEAction, Romance, Thriller, WesternUS, JPSharon Stone, Leonardo DiCaprio, Gene Hackman, Russell Crowe"
Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.","Drama, Romance","Rebecca Williams, Sally Field, Tom Hanks, Michael Conner Humphreys",https://images-na.ssl-images-amazon.com/images/M/MV5BYThjM2MwZGMtMzg3Ny00NGRkLWE4M2EtYTBiNWMzOTY0YTI4XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg,8.8,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.MOVIEDrama, RomanceUSRebecca Williams, Sally Field, Tom Hanks, Michael Conner Humphreys"
